,PLAYER,FORWARD/BACK,TEAM,POSITION,AGE,CAPS,CLUB/PROVINCE,stat,value
2491,Will Stuart,Forward,England,Prop,25,15,Bath,BROKEN TACKLES,0
2492,WP Nel,Forward,Scotland,Prop,35,43, Edinburgh,BROKEN TACKLES,0
2493,Wyn Jones,Forward,Wales,Prop,29,38, Scarlets,BROKEN TACKLES,0
2494,Yoram Moefana,Back,France,Centre,21,2, Bordeaux,BROKEN TACKLES,3
2495,Zander Fagerson,Forward,Scotland,Prop,26,42, Glasgow Warriors,BROKEN TACKLES,3
2496,Aaron Wainwright,Forward,Wales,Back row,24,34, Dragons,KNOCK ONS,1
2497,Adam Beard,Forward,Wales,Lock,26,29, Ospreys,KNOCK ONS,0
2498,Adam Hastings,Back,Scotland,Fly-half,25,25, Gloucester,KNOCK ONS,0
2499,Alessandro Fusco,Back,Italy,Scrum-half,22,2, Zebre Parma,KNOCK ONS,0
2500,Alex Cuthbert,Back,Wales,Wing,31,48, Ospreys,KNOCK ONS,1
2501,Alex Dombrandt,Forward,England,Back row,24,4,Harlequins,KNOCK ONS,1
2502,Ali Price,Back,Scotland,Scrum-half,28,46, Glasgow Warriors,KNOCK ONS,1
2503,Allan Dell,Forward,Scotland,Prop,29,32, London Irish,KNOCK ONS,0
2504,Alun Wyn Jones,Forward,Wales,Lock,36,149, Ospreys,KNOCK ONS,0
2505,Andrea Zambonin,Forward,Italy,Lock,21,1, Zebre Parma,KNOCK ONS,0
2506,Andrew Conway,Back,Ireland,Wing,30,27,Munster,KNOCK ONS,0
2507,Andrew Porter,Forward,Ireland,Prop,26,40,Leinster,KNOCK ONS,1
2508,Andy Christie,Forward,Scotland,Back row,22,0, Saracens,KNOCK ONS,0
2509,Ange Capuozzo,Back,Italy,Fullback,22,0, Grenoble,KNOCK ONS,0
2510,Anthony Jelonch,Forward,France,Back row,25,14, Toulouse,KNOCK ONS,1
2511,Antoine Dupont,Back,France,Scrum-half,25,35, Toulouse,KNOCK ONS,1
2512,Ben Carter,Forward,Wales,Lock,21,5, Dragons,KNOCK ONS,0
2513,Ben Vellacott,Back,Scotland,Scrum-half,26,0, Edinburgh,KNOCK ONS,0
2514,Ben White,Back,Scotland,Scrum-half,23,0, London Irish,KNOCK ONS,0
2515,Ben Youngs,Back,England,Scrum-half,32,112,Leicester Tigers,KNOCK ONS,1
2516,Blair Kinghorn,Back,Scotland,Fullback,25,28, Edinburgh,KNOCK ONS,0
2517,Braam Steyn,Forward,Italy,Back row,29,46, Benetton,KNOCK ONS,0
2518,Bradley Roberts,Back,Wales,Hooker,26,1, Ulster,KNOCK ONS,0
2519,Bundee Aki,Back,Ireland,Centre,31,33,Connacht,KNOCK ONS,0
2520,Caelan Doris,Forward,Ireland,Back row,23,12,Leinster,KNOCK ONS,1
2521,Callum Braley,Back,Italy,Scrum-half,27,12, Benetton,KNOCK ONS,0
2522,Callum Sheedy,Back,Wales,Fly-half,26,13, Bristol Bears,KNOCK ONS,0
2523,Cameron Redpath,Back,Scotland,Centre,22,1, Bath,KNOCK ONS,0
2524,Cameron Woki,Forward,France,Back row,23,11, Bordeaux,KNOCK ONS,0
2525,Charlie Ewels,Forward,England,Lock,26,26,Bath,KNOCK ONS,1
2526,Cherif Traore,Forward,Italy,Prop,27,12, Benetton,KNOCK ONS,0
2527,Chris Harris,Back,Scotland,Centre,31,31, Gloucester,KNOCK ONS,2
2528,Cian Healy,Forward,Ireland,Prop,34,112,Leinster,KNOCK ONS,1
2529,Conor Murray,Back,Ireland,Scrum-half,32,92,Munster,KNOCK ONS,1
2530,Courtney Lawes,Forward,England,Lock,32,90,Northampton Saints,KNOCK ONS,0
2531,Craig Casey,Back,Ireland,Scrum-half,22,4,Munster,KNOCK ONS,0
2532,Cyril Baille,Forward,France,Prop,28,31, Toulouse,KNOCK ONS,0
2533,Damian Penaud,Back,France,Wing,25,28, Clermont,KNOCK ONS,1
2534,Dan Biggar,Back,Wales,Fly-half,32,95, Northampton Saints,KNOCK ONS,0
2535,Dan Sheehan,Back,Ireland,Hooker,23,2,Leinster,KNOCK ONS,0
2536,Danilo Fischetti,Forward,Italy,Prop,24,15, Zebre Parma,KNOCK ONS,0
2537,Darcy Graham,Back,Scotland,Wing,24,22, Edinburgh,KNOCK ONS,0
2538,Dave Kilcoyne,Forward,Ireland,Prop,33,45,Munster,KNOCK ONS,0
2539,David Sisi,Forward,Italy,Lock,29,18, Zebre Parma,KNOCK ONS,0
2540,Demba Bamba,Forward,France,Prop,23,20, Lyon,KNOCK ONS,1
2541,Dewi Lake,Back,Wales,Hooker,22,0, Ospreys,KNOCK ONS,1
2542,Dillon Lewis,Forward,Wales,Prop,26,34, Cardiff,KNOCK ONS,0
2543,Duhan van der Merwe,Back,Scotland,Wing,26,13, Worcester Warriors,KNOCK ONS,1
2544,Dylan Cretin,Forward,France,Back row,24,13, Lyon,KNOCK ONS,1
2545,Edoardo Padovani,Back,Italy,Fullback,28,30, Benetton,KNOCK ONS,0
2546,Elliot Daly,Back,England,Wing,29,52,Saracens,KNOCK ONS,0
2547,Ellis Genge,Forward,England,Prop,26,31,Leicester Tigers,KNOCK ONS,1
2548,Ellis Jenkins,Forward,Wales,Back row,28,14, Cardiff,KNOCK ONS,0
2549,Federico Mori,Back,Italy,Wing,21,11, Bordeaux,KNOCK ONS,0
2550,Federico Ruzza,Forward,Italy,Lock,27,25, Benetton,KNOCK ONS,1
2551,Finlay Bealham,Forward,Ireland,Prop,30,18,Connacht,KNOCK ONS,0
2552,Finn Russell,Back,Scotland,Fly-half,29,58, Racing 92,KNOCK ONS,1
2553,Francois Cros,Forward,France,Back row,27,11, Toulouse,KNOCK ONS,1
2554,Fraser Brown,Back,Scotland,Hooker,32,54, Glasgow Warriors,KNOCK ONS,0
2555,Freddie Steward,Back,England,Fullback,21,5,Leicester Tigers,KNOCK ONS,1
2556,Gabin Villiere,Back,France,Wing,26,8, Toulon,KNOCK ONS,3
2557,Gael Fickou,Back,France,Centre,27,66, Racing 92,KNOCK ONS,1
2558,Gareth Anscombe,Back,Wales,Fly-half,30,29, Ospreys,KNOCK ONS,0
2559,Gareth Davies,Back,Wales,Scrum-half,31,65, Scarlets,KNOCK ONS,1
2560,Gareth Thomas,Forward,Wales,Prop,28,5, Ospreys,KNOCK ONS,1
2561,Garry Ringrose,Back,Ireland,Centre,27,37,Leinster,KNOCK ONS,1
2562,George Ford,Back,England,Fly-half,28,77,Leicester Tigers,KNOCK ONS,0
2563,George Furbank,Back,England,Fullback,25,5,Northampton Saints,KNOCK ONS,0
2564,George Turner,Back,Scotland,Hooker,29,20, Glasgow Warriors,KNOCK ONS,0
2565,Giacomo Nicotera,Back,Italy,Hooker,25,0, Benetton,KNOCK ONS,0
2566,Gianmarco Lucchesi,Back,Italy,Hooker,21,8, Benetton,KNOCK ONS,0
2567,Giosue Zilocchi,Forward,Italy,Prop,25,15, Zebre Parma,KNOCK ONS,0
2568,Giovanni Pettinelli,Forward,Italy,Back row,25,1, Benetton,KNOCK ONS,1
2569,Grant Gilchrist,Forward,Scotland,Lock,31,48, Edinburgh,KNOCK ONS,2
2570,Gregory Alldritt,Forward,France,Back row,24,26, La Rochelle,KNOCK ONS,2
2571,Hame Faiva,Back,Italy,Hooker,27,1, Benetton /  Rovigo Delta,KNOCK ONS,0
2572,Hamish Watson,Forward,Scotland,Back row,30,45, Edinburgh,KNOCK ONS,1
2573,Harry Randall,Back,England,Scrum-half,24,2,Bristol Bears,KNOCK ONS,0
2574,Henry Slade,Back,England,Centre,28,43,Exeter Chiefs,KNOCK ONS,0
2575,Hugo Keenan,Back,Ireland,Fullback,25,16,Leinster,KNOCK ONS,2
2576,Iain Henderson,Forward,Ireland,Lock,29,65,Ulster,KNOCK ONS,1
2577,Ivan Nemer,Forward,Italy,Prop,23,3, Benetton,KNOCK ONS,0
2578,Jac Morgan,Forward,Wales,Back row,22,0, Ospreys,KNOCK ONS,0
2579,Jack Carty,Back,Ireland,Fly-half,29,10,Connacht,KNOCK ONS,0
2580,Jack Conan,Forward,Ireland,Back row,29,22,Leinster,KNOCK ONS,0
2581,Jack Nowell,Back,England,Wing,28,34,Exeter Chiefs,KNOCK ONS,1
2582,James Hume,Back,Ireland,Centre,23,1,Ulster,KNOCK ONS,1
2583,James Lowe,Back,Ireland,Wing,29,10,Leinster,KNOCK ONS,0
2584,James Ryan,Forward,Ireland,Lock,25,40,Leinster,KNOCK ONS,1
2585,Jamie Blamire,Back,England,Hooker,24,5,Newcastle Falcons,KNOCK ONS,0
2586,Jamie George,Back,England,Hooker,31,61,Saracens,KNOCK ONS,0
2587,Jamie Hodgson,Forward,Scotland,Lock,23,3, Edinburgh,KNOCK ONS,0
2588,Jamie Ritchie,Forward,Scotland,Back row,25,31, Edinburgh,KNOCK ONS,0
2589,Jamison Gibson-Park,Back,Ireland,Scrum-half,29,12,Leinster,KNOCK ONS,1
2590,Jean-Baptiste Gros,Forward,France,Prop,22,14, Toulon,KNOCK ONS,1
2591,Joe Launchbury,Forward,England,Lock,30,69,Wasps,KNOCK ONS,0
2592,Joe Marchant,Back,England,Centre,25,7,Harlequins,KNOCK ONS,1
2593,Joe Marler,Forward,England,Prop,31,74,Harlequins,KNOCK ONS,0
2594,Joey Carbery,Back,Ireland,Fly-half,26,27,Munster,KNOCK ONS,0
2595,Johnny McNicholl,Back,Wales,Fullback,31,8, Scarlets,KNOCK ONS,2
2596,Johnny Sexton,Back,Ireland,Fly-half,36,101,Leinster,KNOCK ONS,0
2597,Jonathan Danty,Back,France,Centre,29,11, La Rochelle,KNOCK ONS,3
2598,Jonathan Davies,Back,Wales,Centre,33,93, Scarlets,KNOCK ONS,0
2599,Jonny Gray,Forward,Scotland,Lock,27,64, Exeter Chiefs,KNOCK ONS,1
2600,Josh Adams,Back,Wales,Wing,26,35, Cardiff,KNOCK ONS,2
2601,Josh Bayliss,Forward,Scotland,Back row,24,2, Bath,KNOCK ONS,0
2602,Josh Navidi,Forward,Wales,Back row,31,28, Cardiff,KNOCK ONS,0
2603,Josh van der Flier,Forward,Ireland,Back row,28,35,Leinster,KNOCK ONS,2
2604,Juan Ignacio Brex,Back,Italy,Centre,29,8, Benetton,KNOCK ONS,1
2605,Julien Marchand,Back,France,Hooker,26,16, Toulouse,KNOCK ONS,1
2606,Kieran Hardy,Back,Wales,Scrum-half,26,8, Scarlets,KNOCK ONS,1
2607,Kieran Treadwell,Forward,Ireland,Lock,26,3,Ulster,KNOCK ONS,1
2608,Kyle Sinckler,Forward,England,Prop,28,47,Bristol Bears,KNOCK ONS,0
2609,Kyle Steyn,Back,Scotland,Wing,28,3, Glasgow Warriors,KNOCK ONS,2
2610,Leon Brown,Forward,Wales,Prop,25,16, Dragons,KNOCK ONS,0
2611,Leonardo Marin,Back,Italy,Fly-half,19,0, Benetton,KNOCK ONS,0
2612,Lewis Ludlam,Forward,England,Back row,26,10,Northampton Saints,KNOCK ONS,0
2613,Liam Williams,Back,Wales,Fullback,30,74, Scarlets,KNOCK ONS,2
2614,Louis Rees-Zammit,Back,Wales,Wing,21,12, Gloucester,KNOCK ONS,2
2615,Luke Cowan-Dickie,Back,England,Hooker,28,31,Exeter Chiefs,KNOCK ONS,0
2616,Mack Hansen,Back,Ireland,Wing,23,0,Connacht,KNOCK ONS,2
2617,Magnus Bradbury,Forward,Scotland,Back row,26,14, Edinburgh,KNOCK ONS,0
2618,Manuel Zuliani,Forward,Italy,Back row,21,0, Benetton,KNOCK ONS,0
2619,Marco Fuser,Forward,Italy,Lock,30,36, Newcastle Falcons,KNOCK ONS,0
2620,Marco Zanon,Back,Italy,Centre,24,7, Benetton,KNOCK ONS,0
2621,Marcus Smith,Back,England,Fly-half,22,5,Harlequins,KNOCK ONS,0
2622,Mark Bennett,Back,Scotland,Centre,29,22, Edinburgh,KNOCK ONS,0
2623,Maro Itoje,Forward,England,Lock,27,51,Saracens,KNOCK ONS,2
2624,Matt Fagerson,Forward,Scotland,Back row,23,17, Glasgow Warriors,KNOCK ONS,0
2625,Matthis Lebel,Back,France,Wing,22,1, Toulouse,KNOCK ONS,0
2626,Max Malins,Back,England,Fullback,25,10,Saracens,KNOCK ONS,1
2627,Maxime Lucu,Back,France,Scrum-half,29,2, Bordeaux,KNOCK ONS,0
2628,Melvyn Jaminet,Back,France,Fullback,22,6, Perpignan,KNOCK ONS,1
2629,Michael Lowry,Back,Ireland,Fullback,23,0,Ulster,KNOCK ONS,0
2630,Michele Lamaro,Forward,Italy,Back row,23,10, Benetton,KNOCK ONS,0
2631,Mohamed Haouas,Forward,France,Prop,27,13, Montpellier,KNOCK ONS,0
2632,Monty Ioane,Back,Italy,Wing,27,9, Benetton,KNOCK ONS,0
2633,Nic Dolly,Back,England,Hooker,22,1,Leicester Tigers,KNOCK ONS,0
2634,Niccolo Cannone,Forward,Italy,Lock,23,15, Benetton,KNOCK ONS,0
2635,Nick Haining,Forward,Scotland,Back row,31,10, Edinburgh,KNOCK ONS,0
2636,Nick Isiekwe,Forward,England,Lock,23,3,Saracens,KNOCK ONS,1
2637,Nick Tompkins,Back,Wales,Centre,26,16, Saracens,KNOCK ONS,0
2638,Oli Kebble,Forward,Scotland,Prop,29,11, Glasgow Warriors,KNOCK ONS,0
2639,Ollie Chessum,Forward,England,Lock,21,0,Leicester Tigers,KNOCK ONS,0
2640,Owen Watkin,Back,Wales,Centre,25,26, Ospreys,KNOCK ONS,0
2641,Paolo Garbisi,Back,Italy,Fly-half,21,13, Montpellier,KNOCK ONS,1
2642,Paul Willemse,Forward,France,Lock,29,19, Montpellier,KNOCK ONS,1
2643,Peato Mauvaka,Back,France,Hooker,25,9, Toulouse,KNOCK ONS,1
2644,Peter O'Mahony,Forward,Ireland,Back row,32,79,Munster,KNOCK ONS,0
2645,Pierre Bruno,Back,Italy,Wing,25,1, Zebre Parma,KNOCK ONS,0
2646,Pierre Schoeman,Forward,Scotland,Prop,27,4, Edinburgh,KNOCK ONS,0
2647,Pietro Ceccarelli,Forward,Italy,Prop,29,17, Brive,KNOCK ONS,0
2648,Rob Herring,Back,Ireland,Hooker,31,23,Ulster,KNOCK ONS,0
2649,Robbie Henshaw,Back,Ireland,Centre,28,53,Leinster,KNOCK ONS,1
2650,Romain Ntamack,Back,France,Fly-half,22,23, Toulouse,KNOCK ONS,1
2651,Romain Taofifenua,Forward,France,Lock,31,31, Lyon,KNOCK ONS,0
2652,Ronan Kelleher,Back,Ireland,Hooker,24,16,Leinster,KNOCK ONS,0
2653,Rory Darge,Forward,Scotland,Back row,21,0, Glasgow Warriors,KNOCK ONS,1
2654,Rory Sutherland,Forward,Scotland,Prop,29,16, Worcester Warriors,KNOCK ONS,0
2655,Ross Moriarty,Forward,Wales,Back row,27,49, Cardiff,KNOCK ONS,0
2656,Ryan Baird,Forward,Ireland,Lock,22,6,Leinster,KNOCK ONS,1
2657,Ryan Elias,Back,Wales,Hooker,27,23, Scarlets,KNOCK ONS,1
2658,Sam Johnson,Back,Scotland,Centre,28,21, Glasgow Warriors,KNOCK ONS,0
2659,Sam Simmonds,Forward,England,Back row,27,9,Exeter Chiefs,KNOCK ONS,1
2660,Sam Skinner,Forward,Scotland,Lock,27,15, Exeter Chiefs,KNOCK ONS,0
2661,Sam Underhill,Forward,England,Back row,25,27,Bath,KNOCK ONS,0
2662,Seb Davies,Forward,Wales,Lock,25,13, Cardiff,KNOCK ONS,0
2663,Sebastian Negri,Forward,Italy,Back row,27,36, Benetton,KNOCK ONS,1
2664,Sione Tuipulotu,Back,Scotland,Centre,24,1, Glasgow Warriors,KNOCK ONS,0
2665,Stephen Varney,Back,Italy,Scrum-half,20,9, Gloucester,KNOCK ONS,1
2666,Stuart Hogg,Back,Scotland,Fullback,29,88, Exeter Chiefs,KNOCK ONS,2
2667,Stuart McInally,Back,Scotland,Hooker,31,43, Edinburgh,KNOCK ONS,0
2668,Tadhg Beirne,Forward,Ireland,Lock,30,25,Munster,KNOCK ONS,1
2669,Tadhg Furlong,Forward,Ireland,Prop,29,52,Leinster,KNOCK ONS,0
2670,Taine Basham,Forward,Wales,Back row,22,7, Dragons,KNOCK ONS,2
2671,Taulupe Faletau,Forward,Wales,Back row,31,86, Bath,KNOCK ONS,0
2672,Thibaud Flament,Forward,France,Lock,24,3, Toulouse,KNOCK ONS,0
2673,Thomas Ramos,Back,France,Fullback,26,14, Toulouse,KNOCK ONS,0
2674,Tiziano Pasquali,Forward,Italy,Prop,27,21, Benetton,KNOCK ONS,0
2675,Toa Halafihi,Forward,Italy,Back row,28,0, Benetton,KNOCK ONS,1
2676,Tom Curry,Forward,England,Back row,23,36,Sale Sharks,KNOCK ONS,1
2677,Tomas Francis,Forward,Wales,Prop,29,60, Ospreys,KNOCK ONS,0
2678,Tommaso Menoncello,Back,Italy,Wing,19,0, Benetton /  F.I.R. Academy,KNOCK ONS,0
2679,Tomos Williams,Back,Wales,Scrum-half,27,29, Cardiff,KNOCK ONS,0
2680,Uilisi Halaholo,Back,Wales,Centre,31,9, Cardiff,KNOCK ONS,0
2681,Uini Atonio,Forward,France,Prop,31,39, La Rochelle,KNOCK ONS,0
2682,Will Rowlands,Forward,Wales,Lock,30,13, Dragons,KNOCK ONS,2
2683,Will Stuart,Forward,England,Prop,25,15,Bath,KNOCK ONS,0
2684,WP Nel,Forward,Scotland,Prop,35,43, Edinburgh,KNOCK ONS,0
2685,Wyn Jones,Forward,Wales,Prop,29,38, Scarlets,KNOCK ONS,0
2686,Yoram Moefana,Back,France,Centre,21,2, Bordeaux,KNOCK ONS,1
2687,Zander Fagerson,Forward,Scotland,Prop,26,42, Glasgow Warriors,KNOCK ONS,0
2688,Aaron Wainwright,Forward,Wales,Back row,24,34, Dragons,TACKLES MADE,20
2689,Adam Beard,Forward,Wales,Lock,26,29, Ospreys,TACKLES MADE,52
2690,Adam Hastings,Back,Scotland,Fly-half,25,25, Gloucester,TACKLES MADE,1
2691,Alessandro Fusco,Back,Italy,Scrum-half,22,2, Zebre Parma,TACKLES MADE,11
2692,Alex Cuthbert,Back,Wales,Wing,31,48, Ospreys,TACKLES MADE,8
2693,Alex Dombrandt,Forward,England,Back row,24,4,Harlequins,TACKLES MADE,27
2694,Ali Price,Back,Scotland,Scrum-half,28,46, Glasgow Warriors,TACKLES MADE,21
2695,Allan Dell,Forward,Scotland,Prop,29,32, London Irish,TACKLES MADE,2
2696,Alun Wyn Jones,Forward,Wales,Lock,36,149, Ospreys,TACKLES MADE,8
2697,Andrea Zambonin,Forward,Italy,Lock,21,1, Zebre Parma,TACKLES MADE,3
2698,Andrew Conway,Back,Ireland,Wing,30,27,Munster,TACKLES MADE,8
2699,Andrew Porter,Forward,Ireland,Prop,26,40,Leinster,TACKLES MADE,20
2700,Andy Christie,Forward,Scotland,Back row,22,0, Saracens,TACKLES MADE,3
2701,Ange Capuozzo,Back,Italy,Fullback,22,0, Grenoble,TACKLES MADE,10
2702,Anthony Jelonch,Forward,France,Back row,25,14, Toulouse,TACKLES MADE,64
2703,Antoine Dupont,Back,France,Scrum-half,25,35, Toulouse,TACKLES MADE,41
2704,Ben Carter,Forward,Wales,Lock,21,5, Dragons,TACKLES MADE,4
2705,Ben Vellacott,Back,Scotland,Scrum-half,26,0, Edinburgh,TACKLES MADE,0
2706,Ben White,Back,Scotland,Scrum-half,23,0, London Irish,TACKLES MADE,8
2707,Ben Youngs,Back,England,Scrum-half,32,112,Leicester Tigers,TACKLES MADE,12
2708,Blair Kinghorn,Back,Scotland,Fullback,25,28, Edinburgh,TACKLES MADE,8
2709,Braam Steyn,Forward,Italy,Back row,29,46, Benetton,TACKLES MADE,25
2710,Bradley Roberts,Back,Wales,Hooker,26,1, Ulster,TACKLES MADE,1
2711,Bundee Aki,Back,Ireland,Centre,31,33,Connacht,TACKLES MADE,24
2712,Caelan Doris,Forward,Ireland,Back row,23,12,Leinster,TACKLES MADE,53
2713,Callum Braley,Back,Italy,Scrum-half,27,12, Benetton,TACKLES MADE,4
2714,Callum Sheedy,Back,Wales,Fly-half,26,13, Bristol Bears,TACKLES MADE,8
2715,Cameron Redpath,Back,Scotland,Centre,22,1, Bath,TACKLES MADE,0
2716,Cameron Woki,Forward,France,Back row,23,11, Bordeaux,TACKLES MADE,32
2717,Charlie Ewels,Forward,England,Lock,26,26,Bath,TACKLES MADE,13
2718,Cherif Traore,Forward,Italy,Prop,27,12, Benetton,TACKLES MADE,8
2719,Chris Harris,Back,Scotland,Centre,31,31, Gloucester,TACKLES MADE,38
2720,Cian Healy,Forward,Ireland,Prop,34,112,Leinster,TACKLES MADE,13
2721,Conor Murray,Back,Ireland,Scrum-half,32,92,Munster,TACKLES MADE,3
2722,Courtney Lawes,Forward,England,Lock,32,90,Northampton Saints,TACKLES MADE,39
2723,Craig Casey,Back,Ireland,Scrum-half,22,4,Munster,TACKLES MADE,1
2724,Cyril Baille,Forward,France,Prop,28,31, Toulouse,TACKLES MADE,36
2725,Damian Penaud,Back,France,Wing,25,28, Clermont,TACKLES MADE,17
2726,Dan Biggar,Back,Wales,Fly-half,32,95, Northampton Saints,TACKLES MADE,44
2727,Dan Sheehan,Back,Ireland,Hooker,23,2,Leinster,TACKLES MADE,39
2728,Danilo Fischetti,Forward,Italy,Prop,24,15, Zebre Parma,TACKLES MADE,50
2729,Darcy Graham,Back,Scotland,Wing,24,22, Edinburgh,TACKLES MADE,21
2730,Dave Kilcoyne,Forward,Ireland,Prop,33,45,Munster,TACKLES MADE,9
2731,David Sisi,Forward,Italy,Lock,29,18, Zebre Parma,TACKLES MADE,11
2732,Demba Bamba,Forward,France,Prop,23,20, Lyon,TACKLES MADE,11
2733,Dewi Lake,Back,Wales,Hooker,22,0, Ospreys,TACKLES MADE,28
2734,Dillon Lewis,Forward,Wales,Prop,26,34, Cardiff,TACKLES MADE,23
2735,Duhan van der Merwe,Back,Scotland,Wing,26,13, Worcester Warriors,TACKLES MADE,4
2736,Dylan Cretin,Forward,France,Back row,24,13, Lyon,TACKLES MADE,14
2737,Edoardo Padovani,Back,Italy,Fullback,28,30, Benetton,TACKLES MADE,20
2738,Elliot Daly,Back,England,Wing,29,52,Saracens,TACKLES MADE,20
2739,Ellis Genge,Forward,England,Prop,26,31,Leicester Tigers,TACKLES MADE,44
2740,Ellis Jenkins,Forward,Wales,Back row,28,14, Cardiff,TACKLES MADE,5
2741,Federico Mori,Back,Italy,Wing,21,11, Bordeaux,TACKLES MADE,3
2742,Federico Ruzza,Forward,Italy,Lock,27,25, Benetton,TACKLES MADE,50
2743,Finlay Bealham,Forward,Ireland,Prop,30,18,Connacht,TACKLES MADE,13
2744,Finn Russell,Back,Scotland,Fly-half,29,58, Racing 92,TACKLES MADE,19
2745,Francois Cros,Forward,France,Back row,27,11, Toulouse,TACKLES MADE,58
2746,Fraser Brown,Back,Scotland,Hooker,32,54, Glasgow Warriors,TACKLES MADE,5
2747,Freddie Steward,Back,England,Fullback,21,5,Leicester Tigers,TACKLES MADE,13
2748,Gabin Villiere,Back,France,Wing,26,8, Toulon,TACKLES MADE,14
2749,Gael Fickou,Back,France,Centre,27,66, Racing 92,TACKLES MADE,45
2750,Gareth Anscombe,Back,Wales,Fly-half,30,29, Ospreys,TACKLES MADE,1
2751,Gareth Davies,Back,Wales,Scrum-half,31,65, Scarlets,TACKLES MADE,9
2752,Gareth Thomas,Forward,Wales,Prop,28,5, Ospreys,TACKLES MADE,32
2753,Garry Ringrose,Back,Ireland,Centre,27,37,Leinster,TACKLES MADE,26
2754,George Ford,Back,England,Fly-half,28,77,Leicester Tigers,TACKLES MADE,6
2755,George Furbank,Back,England,Fullback,25,5,Northampton Saints,TACKLES MADE,2
2756,George Turner,Back,Scotland,Hooker,29,20, Glasgow Warriors,TACKLES MADE,34
2757,Giacomo Nicotera,Back,Italy,Hooker,25,0, Benetton,TACKLES MADE,21
2758,Gianmarco Lucchesi,Back,Italy,Hooker,21,8, Benetton,TACKLES MADE,27
2759,Giosue Zilocchi,Forward,Italy,Prop,25,15, Zebre Parma,TACKLES MADE,4
2760,Giovanni Pettinelli,Forward,Italy,Back row,25,1, Benetton,TACKLES MADE,37
2761,Grant Gilchrist,Forward,Scotland,Lock,31,48, Edinburgh,TACKLES MADE,53
2762,Gregory Alldritt,Forward,France,Back row,24,26, La Rochelle,TACKLES MADE,53
2763,Hame Faiva,Back,Italy,Hooker,27,1, Benetton /  Rovigo Delta,TACKLES MADE,16
2764,Hamish Watson,Forward,Scotland,Back row,30,45, Edinburgh,TACKLES MADE,70
2765,Harry Randall,Back,England,Scrum-half,24,2,Bristol Bears,TACKLES MADE,10
2766,Henry Slade,Back,England,Centre,28,43,Exeter Chiefs,TACKLES MADE,29
2767,Hugo Keenan,Back,Ireland,Fullback,25,16,Leinster,TACKLES MADE,11
2768,Iain Henderson,Forward,Ireland,Lock,29,65,Ulster,TACKLES MADE,19
2769,Ivan Nemer,Forward,Italy,Prop,23,3, Benetton,TACKLES MADE,26
2770,Jac Morgan,Forward,Wales,Back row,22,0, Ospreys,TACKLES MADE,19
2771,Jack Carty,Back,Ireland,Fly-half,29,10,Connacht,TACKLES MADE,1
2772,Jack Conan,Forward,Ireland,Back row,29,22,Leinster,TACKLES MADE,19
2773,Jack Nowell,Back,England,Wing,28,34,Exeter Chiefs,TACKLES MADE,20
2774,James Hume,Back,Ireland,Centre,23,1,Ulster,TACKLES MADE,3
2775,James Lowe,Back,Ireland,Wing,29,10,Leinster,TACKLES MADE,3
2776,James Ryan,Forward,Ireland,Lock,25,40,Leinster,TACKLES MADE,23
2777,Jamie Blamire,Back,England,Hooker,24,5,Newcastle Falcons,TACKLES MADE,0
2778,Jamie George,Back,England,Hooker,31,61,Saracens,TACKLES MADE,36
2779,Jamie Hodgson,Forward,Scotland,Lock,23,3, Edinburgh,TACKLES MADE,6
2780,Jamie Ritchie,Forward,Scotland,Back row,25,31, Edinburgh,TACKLES MADE,7
2781,Jamison Gibson-Park,Back,Ireland,Scrum-half,29,12,Leinster,TACKLES MADE,11
2782,Jean-Baptiste Gros,Forward,France,Prop,22,14, Toulon,TACKLES MADE,27
2783,Joe Launchbury,Forward,England,Lock,30,69,Wasps,TACKLES MADE,1
2784,Joe Marchant,Back,England,Centre,25,7,Harlequins,TACKLES MADE,28
2785,Joe Marler,Forward,England,Prop,31,74,Harlequins,TACKLES MADE,7
2786,Joey Carbery,Back,Ireland,Fly-half,26,27,Munster,TACKLES MADE,17
2787,Johnny McNicholl,Back,Wales,Fullback,31,8, Scarlets,TACKLES MADE,4
2788,Johnny Sexton,Back,Ireland,Fly-half,36,101,Leinster,TACKLES MADE,25
2789,Jonathan Danty,Back,France,Centre,29,11, La Rochelle,TACKLES MADE,30
2790,Jonathan Davies,Back,Wales,Centre,33,93, Scarlets,TACKLES MADE,7
2791,Jonny Gray,Forward,Scotland,Lock,27,64, Exeter Chiefs,TACKLES MADE,48
2792,Josh Adams,Back,Wales,Wing,26,35, Cardiff,TACKLES MADE,23
2793,Josh Bayliss,Forward,Scotland,Back row,24,2, Bath,TACKLES MADE,0
2794,Josh Navidi,Forward,Wales,Back row,31,28, Cardiff,TACKLES MADE,20
2795,Josh van der Flier,Forward,Ireland,Back row,28,35,Leinster,TACKLES MADE,58
2796,Juan Ignacio Brex,Back,Italy,Centre,29,8, Benetton,TACKLES MADE,57
2797,Julien Marchand,Back,France,Hooker,26,16, Toulouse,TACKLES MADE,20
2798,Kieran Hardy,Back,Wales,Scrum-half,26,8, Scarlets,TACKLES MADE,11
2799,Kieran Treadwell,Forward,Ireland,Lock,26,3,Ulster,TACKLES MADE,6
2800,Kyle Sinckler,Forward,England,Prop,28,47,Bristol Bears,TACKLES MADE,34
2801,Kyle Steyn,Back,Scotland,Wing,28,3, Glasgow Warriors,TACKLES MADE,8
