,PLAYER,FORWARD/BACK,TEAM,POSITION,AGE,CAPS,CLUB/PROVINCE,stat,value
112,Kyle Sinckler,Forward,England,Prop,28,47,Bristol Bears,MINUTES PLAYED,240
113,Kyle Steyn,Back,Scotland,Wing,28,3, Glasgow Warriors,MINUTES PLAYED,160
114,Leon Brown,Forward,Wales,Prop,25,16, Dragons,MINUTES PLAYED,73
115,Leonardo Marin,Back,Italy,Fly-half,19,0, Benetton,MINUTES PLAYED,251
116,Lewis Ludlam,Forward,England,Back row,26,10,Northampton Saints,MINUTES PLAYED,63
117,Liam Williams,Back,Wales,Fullback,30,74, Scarlets,MINUTES PLAYED,290
118,Louis Rees-Zammit,Back,Wales,Wing,21,12, Gloucester,MINUTES PLAYED,255
119,Luke Cowan-Dickie,Back,England,Hooker,28,31,Exeter Chiefs,MINUTES PLAYED,115
120,Mack Hansen,Back,Ireland,Wing,23,0,Connacht,MINUTES PLAYED,320
121,Magnus Bradbury,Forward,Scotland,Back row,26,14, Edinburgh,MINUTES PLAYED,168
122,Manuel Zuliani,Forward,Italy,Back row,21,0, Benetton,MINUTES PLAYED,42
123,Marco Fuser,Forward,Italy,Lock,30,36, Newcastle Falcons,MINUTES PLAYED,78
124,Marco Zanon,Back,Italy,Centre,24,7, Benetton,MINUTES PLAYED,219
125,Marcus Smith,Back,England,Fly-half,22,5,Harlequins,MINUTES PLAYED,383
126,Mark Bennett,Back,Scotland,Centre,29,22, Edinburgh,MINUTES PLAYED,59
127,Maro Itoje,Forward,England,Lock,27,51,Saracens,MINUTES PLAYED,400
128,Matt Fagerson,Forward,Scotland,Back row,23,17, Glasgow Warriors,MINUTES PLAYED,235
129,Matthis Lebel,Back,France,Wing,22,1, Toulouse,MINUTES PLAYED,1
130,Max Malins,Back,England,Fullback,25,10,Saracens,MINUTES PLAYED,320
131,Maxime Lucu,Back,France,Scrum-half,29,2, Bordeaux,MINUTES PLAYED,40
132,Melvyn Jaminet,Back,France,Fullback,22,6, Perpignan,MINUTES PLAYED,382
133,Michael Lowry,Back,Ireland,Fullback,23,0,Ulster,MINUTES PLAYED,80
134,Michele Lamaro,Forward,Italy,Back row,23,10, Benetton,MINUTES PLAYED,377
