,PLAYER,MINUTES PLAYED,TRIES,TRY ASSISTS,CONVERSIONS,PENALTY GOALS,DROP GOALS,METRES MADE,CARRIES,METRES KICKED,BALL PLAYED BY HAND,PASSES MADE,OFFLOADS,BROKEN TACKLES,KNOCK ONS,TACKLES MADE,MISSED TACKLES,DOMINANT TACKLES,TURNOVERS WON,TURNOVERS WON IN THE TACKLE,TURNOVERS CONCEDED,HANDLING ERRORS,PENS CONCEDED,OFFSIDE PENALTIES,SCRUM PENALTIES,LINEOUTS WON,LINEOUTS STOLEN,YELLOW CARDS,RED CARDS,TEAM,POSITION,CAPS,CLUB/PROVINCE,AGE
156,Ronan Kelleher,88,0,0,0,0,0,49,7,0,11,5,1,1,0,11,1,2,0,1,1,0,1,0,0,0,0,0,0,Ireland,Hooker,16,Leinster,24
157,Rory Darge,258,1,0,0,0,0,172,35,0,46,12,0,8,1,43,3,3,5,2,3,3,0,0,0,2,0,0,0,Scotland,Back row,0, Glasgow Warriors,21
158,Rory Sutherland,69,0,0,0,0,0,17,3,0,3,0,0,0,0,7,2,0,1,0,0,0,0,0,0,0,0,0,0,Scotland,Prop,16, Worcester Warriors,29
159,Ross Moriarty,206,0,1,0,0,0,128,25,0,38,15,2,2,0,35,5,2,0,0,4,2,4,0,0,14,0,0,0,Wales,Back row,49, Cardiff,27
160,Ryan Baird,94,1,0,0,0,0,66,10,0,15,5,0,2,1,13,1,0,1,0,1,1,0,0,0,3,1,0,0,Ireland,Lock,6,Leinster,22
161,Ryan Elias,239,0,0,0,0,0,152,30,0,37,7,0,1,1,46,3,2,1,0,2,1,1,0,0,0,0,0,0,Wales,Hooker,23, Scarlets,27
162,Sam Johnson,196,1,0,0,0,0,79,10,0,22,12,0,2,0,28,3,0,0,0,3,1,1,0,0,2,0,0,0,Scotland,Centre,21, Glasgow Warriors,28
163,Sam Simmonds,299,0,0,0,0,0,254,39,0,44,8,3,6,1,51,4,0,1,1,1,2,1,0,1,0,0,0,0,England,Back row,9,Exeter Chiefs,27
164,Sam Skinner,282,0,0,0,0,0,90,16,0,25,10,1,3,0,41,2,1,4,0,0,1,3,0,0,13,2,0,0,Scotland,Lock,15, Exeter Chiefs,27
165,Sam Underhill,65,0,0,0,0,0,20,5,0,7,3,1,0,0,17,1,4,1,1,0,1,1,0,0,0,0,0,0,England,Back row,27,Bath,25
166,Seb Davies,125,0,0,0,0,0,65,14,0,21,9,2,3,0,18,3,3,0,0,1,0,1,0,0,8,0,0,0,Wales,Lock,13, Cardiff,25
167,Sebastian Negri,85,0,0,0,0,0,60,14,0,15,1,0,0,1,13,1,0,0,0,1,1,1,0,0,2,0,0,0,Italy,Back row,36, Benetton,27
168,Sione Tuipulotu,175,0,0,0,0,0,173,19,0,31,12,0,3,0,10,3,0,0,0,0,1,1,0,0,2,0,0,0,Scotland,Centre,1, Glasgow Warriors,24
169,Stephen Varney,170,0,0,0,0,0,27,13,532,128,115,0,1,1,15,3,0,0,0,7,9,1,0,0,0,0,0,0,Italy,Scrum-half,9, Gloucester,20
170,Stuart Hogg,400,1,1,1,0,0,656,56,1619,91,41,6,15,2,13,7,0,0,0,8,7,4,0,0,4,0,0,0,Scotland,Fullback,88, Exeter Chiefs,29
171,Stuart McInally,149,0,0,0,0,0,68,14,0,21,8,1,0,0,17,4,0,1,0,0,1,0,0,0,0,0,0,0,Scotland,Hooker,43, Edinburgh,31
172,Tadhg Beirne,381,0,0,0,0,0,204,45,45,78,34,2,1,1,38,2,1,5,0,5,6,5,1,0,22,2,0,0,Ireland,Lock,25,Munster,30
173,Tadhg Furlong,327,0,0,0,0,0,134,33,0,53,21,1,2,0,35,3,2,1,0,1,2,5,1,4,0,0,0,0,Ireland,Prop,52,Leinster,29
174,Taine Basham,215,1,0,0,0,0,169,30,0,40,11,1,3,2,46,9,2,1,2,2,2,5,1,0,0,0,0,0,Wales,Back row,7, Dragons,22
175,Taulupe Faletau,240,0,1,0,0,0,213,36,0,50,17,3,3,0,39,1,0,1,1,2,3,2,0,0,0,0,0,0,Wales,Back row,86, Bath,31
176,Thibaud Flament,77,0,0,0,0,0,33,8,0,9,1,0,0,0,20,3,0,0,0,0,0,2,0,0,1,0,0,0,France,Lock,3, Toulouse,24
177,Thomas Ramos,18,0,0,0,0,0,25,3,109,6,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,France,Fullback,14, Toulouse,26
178,Tiziano Pasquali,159,0,0,0,0,0,21,4,8,11,7,0,0,0,18,3,1,0,1,1,0,3,2,1,1,0,0,0,Italy,Prop,21, Benetton,27
179,Toa Halafihi,257,0,0,0,0,0,176,25,0,40,16,1,3,1,44,4,2,6,0,1,2,1,0,0,0,0,0,0,Italy,Back row,0, Benetton,28
180,Tom Curry,199,0,0,0,0,0,99,19,0,27,9,1,2,1,33,4,5,1,1,1,1,2,1,0,0,0,0,0,England,Back row,36,Sale Sharks,23
181,Tomas Francis,217,1,0,0,0,0,15,4,0,7,3,0,0,0,34,7,2,0,0,0,1,1,0,0,1,0,0,0,Wales,Prop,60, Ospreys,29
182,Tommaso Menoncello,57,1,0,0,0,0,21,2,0,2,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,Italy,Wing,0, Benetton /  F.I.R. Academy,19
183,Tomos Williams,215,0,1,0,0,0,94,19,515,221,206,4,5,0,28,3,0,0,1,2,6,0,0,0,1,0,0,0,Wales,Scrum-half,29, Cardiff,27
184,Uilisi Halaholo,46,0,0,0,0,0,25,6,0,13,7,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,Wales,Centre,9, Cardiff,31
185,Uini Atonio,247,0,0,0,0,0,74,16,0,19,3,0,1,0,14,1,2,0,0,1,1,4,1,1,0,0,0,0,France,Prop,39, La Rochelle,31
186,Will Rowlands,329,0,0,0,0,0,217,42,0,48,7,1,0,2,49,1,1,4,1,2,2,4,0,0,10,4,0,0,Wales,Lock,13, Dragons,30
187,Will Stuart,160,0,0,0,0,0,74,15,0,16,1,0,0,0,25,3,0,1,0,1,0,5,0,2,0,0,0,0,England,Prop,15,Bath,25
188,WP Nel,144,0,0,0,0,0,18,5,0,8,3,0,0,0,22,3,0,0,0,0,0,6,0,4,0,0,0,0,Scotland,Prop,43, Edinburgh,35
189,Wyn Jones,208,0,0,0,0,0,66,16,0,26,12,3,0,0,36,1,0,1,0,0,3,4,0,2,0,0,0,0,Wales,Prop,38, Scarlets,29
190,Yoram Moefana,263,1,1,0,0,0,188,19,6,29,14,4,3,1,10,0,1,0,1,3,4,1,0,0,0,0,0,0,France,Centre,2, Bordeaux,21
191,Zander Fagerson,256,0,0,0,0,0,108,24,0,25,1,0,3,0,36,0,1,0,0,1,0,7,0,2,0,0,0,0,Scotland,Prop,42, Glasgow Warriors,26
