,PLAYER,FORWARD/BACK,TEAM,POSITION,AGE,CAPS,CLUB/PROVINCE,stat,value,norm_value,stat_category
1580,Demba Bamba,Forward,France,Prop,23,20, Lyon,OFFLOADS,0,0.0,Attack
1581,Dewi Lake,Back,Wales,Hooker,22,0, Ospreys,OFFLOADS,0,0.0,Attack
1582,Dillon Lewis,Forward,Wales,Prop,26,34, Cardiff,OFFLOADS,0,0.0,Attack
1583,Duhan van der Merwe,Back,Scotland,Wing,26,13, Worcester Warriors,OFFLOADS,1,0.1111111111111111,Attack
1584,Dylan Cretin,Forward,France,Back row,24,13, Lyon,OFFLOADS,0,0.0,Attack
1585,Edoardo Padovani,Back,Italy,Fullback,28,30, Benetton,OFFLOADS,2,0.2222222222222222,Attack
1586,Elliot Daly,Back,England,Wing,29,52,Saracens,OFFLOADS,2,0.2222222222222222,Attack
1587,Ellis Genge,Forward,England,Prop,26,31,Leicester Tigers,OFFLOADS,1,0.1111111111111111,Attack
1588,Ellis Jenkins,Forward,Wales,Back row,28,14, Cardiff,OFFLOADS,0,0.0,Attack
1589,Federico Mori,Back,Italy,Wing,21,11, Bordeaux,OFFLOADS,1,0.1111111111111111,Attack
1590,Federico Ruzza,Forward,Italy,Lock,27,25, Benetton,OFFLOADS,0,0.0,Attack
1591,Finlay Bealham,Forward,Ireland,Prop,30,18,Connacht,OFFLOADS,1,0.1111111111111111,Attack
1592,Finn Russell,Back,Scotland,Fly-half,29,58, Racing 92,OFFLOADS,5,0.5555555555555556,Attack
1593,Francois Cros,Forward,France,Back row,27,11, Toulouse,OFFLOADS,1,0.1111111111111111,Attack
1594,Fraser Brown,Back,Scotland,Hooker,32,54, Glasgow Warriors,OFFLOADS,0,0.0,Attack
1595,Freddie Steward,Back,England,Fullback,21,5,Leicester Tigers,OFFLOADS,1,0.1111111111111111,Attack
1596,Gabin Villiere,Back,France,Wing,26,8, Toulon,OFFLOADS,2,0.2222222222222222,Attack
1597,Gael Fickou,Back,France,Centre,27,66, Racing 92,OFFLOADS,4,0.4444444444444444,Attack
1598,Gareth Anscombe,Back,Wales,Fly-half,30,29, Ospreys,OFFLOADS,1,0.1111111111111111,Attack
1599,Gareth Davies,Back,Wales,Scrum-half,31,65, Scarlets,OFFLOADS,0,0.0,Attack
1600,Gareth Thomas,Forward,Wales,Prop,28,5, Ospreys,OFFLOADS,0,0.0,Attack
1601,Garry Ringrose,Back,Ireland,Centre,27,37,Leinster,OFFLOADS,1,0.1111111111111111,Attack
1602,George Ford,Back,England,Fly-half,28,77,Leicester Tigers,OFFLOADS,0,0.0,Attack
1603,George Furbank,Back,England,Fullback,25,5,Northampton Saints,OFFLOADS,1,0.1111111111111111,Attack
1604,George Turner,Back,Scotland,Hooker,29,20, Glasgow Warriors,OFFLOADS,0,0.0,Attack
1605,Giacomo Nicotera,Back,Italy,Hooker,25,0, Benetton,OFFLOADS,0,0.0,Attack
1606,Gianmarco Lucchesi,Back,Italy,Hooker,21,8, Benetton,OFFLOADS,0,0.0,Attack
1607,Giosue Zilocchi,Forward,Italy,Prop,25,15, Zebre Parma,OFFLOADS,0,0.0,Attack
1608,Giovanni Pettinelli,Forward,Italy,Back row,25,1, Benetton,OFFLOADS,3,0.3333333333333333,Attack
1609,Grant Gilchrist,Forward,Scotland,Lock,31,48, Edinburgh,OFFLOADS,2,0.2222222222222222,Attack
1610,Gregory Alldritt,Forward,France,Back row,24,26, La Rochelle,OFFLOADS,7,0.7777777777777778,Attack
1611,Hame Faiva,Back,Italy,Hooker,27,1, Benetton /  Rovigo Delta,OFFLOADS,0,0.0,Attack
1612,Hamish Watson,Forward,Scotland,Back row,30,45, Edinburgh,OFFLOADS,3,0.3333333333333333,Attack
1613,Harry Randall,Back,England,Scrum-half,24,2,Bristol Bears,OFFLOADS,3,0.3333333333333333,Attack
1614,Henry Slade,Back,England,Centre,28,43,Exeter Chiefs,OFFLOADS,1,0.1111111111111111,Attack
1615,Hugo Keenan,Back,Ireland,Fullback,25,16,Leinster,OFFLOADS,3,0.3333333333333333,Attack
1616,Iain Henderson,Forward,Ireland,Lock,29,65,Ulster,OFFLOADS,2,0.2222222222222222,Attack
1617,Ivan Nemer,Forward,Italy,Prop,23,3, Benetton,OFFLOADS,0,0.0,Attack
1618,Jac Morgan,Forward,Wales,Back row,22,0, Ospreys,OFFLOADS,1,0.1111111111111111,Attack
1619,Jack Carty,Back,Ireland,Fly-half,29,10,Connacht,OFFLOADS,0,0.0,Attack
1620,Jack Conan,Forward,Ireland,Back row,29,22,Leinster,OFFLOADS,3,0.3333333333333333,Attack
1621,Jack Nowell,Back,England,Wing,28,34,Exeter Chiefs,OFFLOADS,1,0.1111111111111111,Attack
1622,James Hume,Back,Ireland,Centre,23,1,Ulster,OFFLOADS,0,0.0,Attack
1623,James Lowe,Back,Ireland,Wing,29,10,Leinster,OFFLOADS,2,0.2222222222222222,Attack
1624,James Ryan,Forward,Ireland,Lock,25,40,Leinster,OFFLOADS,0,0.0,Attack
1625,Jamie Blamire,Back,England,Hooker,24,5,Newcastle Falcons,OFFLOADS,0,0.0,Attack
1626,Jamie George,Back,England,Hooker,31,61,Saracens,OFFLOADS,2,0.2222222222222222,Attack
1627,Jamie Hodgson,Forward,Scotland,Lock,23,3, Edinburgh,OFFLOADS,0,0.0,Attack
1628,Jamie Ritchie,Forward,Scotland,Back row,25,31, Edinburgh,OFFLOADS,0,0.0,Attack
1629,Jamison Gibson-Park,Back,Ireland,Scrum-half,29,12,Leinster,OFFLOADS,1,0.1111111111111111,Attack
1630,Jean-Baptiste Gros,Forward,France,Prop,22,14, Toulon,OFFLOADS,0,0.0,Attack
1631,Joe Launchbury,Forward,England,Lock,30,69,Wasps,OFFLOADS,0,0.0,Attack
1632,Joe Marchant,Back,England,Centre,25,7,Harlequins,OFFLOADS,2,0.2222222222222222,Attack
1633,Joe Marler,Forward,England,Prop,31,74,Harlequins,OFFLOADS,0,0.0,Attack
1634,Joey Carbery,Back,Ireland,Fly-half,26,27,Munster,OFFLOADS,1,0.1111111111111111,Attack
1635,Johnny McNicholl,Back,Wales,Fullback,31,8, Scarlets,OFFLOADS,3,0.3333333333333333,Attack
1636,Johnny Sexton,Back,Ireland,Fly-half,36,101,Leinster,OFFLOADS,5,0.5555555555555556,Attack
1637,Jonathan Danty,Back,France,Centre,29,11, La Rochelle,OFFLOADS,0,0.0,Attack
1638,Jonathan Davies,Back,Wales,Centre,33,93, Scarlets,OFFLOADS,0,0.0,Attack
1639,Jonny Gray,Forward,Scotland,Lock,27,64, Exeter Chiefs,OFFLOADS,0,0.0,Attack
1640,Josh Adams,Back,Wales,Wing,26,35, Cardiff,OFFLOADS,4,0.4444444444444444,Attack
1641,Josh Bayliss,Forward,Scotland,Back row,24,2, Bath,OFFLOADS,0,0.0,Attack
1642,Josh Navidi,Forward,Wales,Back row,31,28, Cardiff,OFFLOADS,0,0.0,Attack
1643,Josh van der Flier,Forward,Ireland,Back row,28,35,Leinster,OFFLOADS,0,0.0,Attack
1644,Juan Ignacio Brex,Back,Italy,Centre,29,8, Benetton,OFFLOADS,2,0.2222222222222222,Attack
1645,Julien Marchand,Back,France,Hooker,26,16, Toulouse,OFFLOADS,2,0.2222222222222222,Attack
1646,Kieran Hardy,Back,Wales,Scrum-half,26,8, Scarlets,OFFLOADS,0,0.0,Attack
1647,Kieran Treadwell,Forward,Ireland,Lock,26,3,Ulster,OFFLOADS,0,0.0,Attack
1648,Kyle Sinckler,Forward,England,Prop,28,47,Bristol Bears,OFFLOADS,0,0.0,Attack
1649,Kyle Steyn,Back,Scotland,Wing,28,3, Glasgow Warriors,OFFLOADS,1,0.1111111111111111,Attack
1650,Leon Brown,Forward,Wales,Prop,25,16, Dragons,OFFLOADS,1,0.1111111111111111,Attack
1651,Leonardo Marin,Back,Italy,Fly-half,19,0, Benetton,OFFLOADS,1,0.1111111111111111,Attack
1652,Lewis Ludlam,Forward,England,Back row,26,10,Northampton Saints,OFFLOADS,0,0.0,Attack
1653,Liam Williams,Back,Wales,Fullback,30,74, Scarlets,OFFLOADS,4,0.4444444444444444,Attack
1654,Louis Rees-Zammit,Back,Wales,Wing,21,12, Gloucester,OFFLOADS,1,0.1111111111111111,Attack
1655,Luke Cowan-Dickie,Back,England,Hooker,28,31,Exeter Chiefs,OFFLOADS,0,0.0,Attack
1656,Mack Hansen,Back,Ireland,Wing,23,0,Connacht,OFFLOADS,7,0.7777777777777778,Attack
1657,Magnus Bradbury,Forward,Scotland,Back row,26,14, Edinburgh,OFFLOADS,1,0.1111111111111111,Attack
1658,Manuel Zuliani,Forward,Italy,Back row,21,0, Benetton,OFFLOADS,0,0.0,Attack
1659,Marco Fuser,Forward,Italy,Lock,30,36, Newcastle Falcons,OFFLOADS,1,0.1111111111111111,Attack
1660,Marco Zanon,Back,Italy,Centre,24,7, Benetton,OFFLOADS,1,0.1111111111111111,Attack
1661,Marcus Smith,Back,England,Fly-half,22,5,Harlequins,OFFLOADS,3,0.3333333333333333,Attack
1662,Mark Bennett,Back,Scotland,Centre,29,22, Edinburgh,OFFLOADS,0,0.0,Attack
1663,Maro Itoje,Forward,England,Lock,27,51,Saracens,OFFLOADS,2,0.2222222222222222,Attack
1664,Matt Fagerson,Forward,Scotland,Back row,23,17, Glasgow Warriors,OFFLOADS,1,0.1111111111111111,Attack
1665,Matthis Lebel,Back,France,Wing,22,1, Toulouse,OFFLOADS,0,0.0,Attack
1666,Max Malins,Back,England,Fullback,25,10,Saracens,OFFLOADS,5,0.5555555555555556,Attack
1667,Maxime Lucu,Back,France,Scrum-half,29,2, Bordeaux,OFFLOADS,0,0.0,Attack
1668,Melvyn Jaminet,Back,France,Fullback,22,6, Perpignan,OFFLOADS,2,0.2222222222222222,Attack
1669,Michael Lowry,Back,Ireland,Fullback,23,0,Ulster,OFFLOADS,0,0.0,Attack
1670,Michele Lamaro,Forward,Italy,Back row,23,10, Benetton,OFFLOADS,3,0.3333333333333333,Attack
1671,Mohamed Haouas,Forward,France,Prop,27,13, Montpellier,OFFLOADS,0,0.0,Attack
1672,Monty Ioane,Back,Italy,Wing,27,9, Benetton,OFFLOADS,9,1.0,Attack
1673,Nic Dolly,Back,England,Hooker,22,1,Leicester Tigers,OFFLOADS,0,0.0,Attack
1674,Niccolo Cannone,Forward,Italy,Lock,23,15, Benetton,OFFLOADS,0,0.0,Attack
1675,Nick Haining,Forward,Scotland,Back row,31,10, Edinburgh,OFFLOADS,0,0.0,Attack
1676,Nick Isiekwe,Forward,England,Lock,23,3,Saracens,OFFLOADS,0,0.0,Attack
1677,Nick Tompkins,Back,Wales,Centre,26,16, Saracens,OFFLOADS,4,0.4444444444444444,Attack
1678,Oli Kebble,Forward,Scotland,Prop,29,11, Glasgow Warriors,OFFLOADS,0,0.0,Attack
1679,Ollie Chessum,Forward,England,Lock,21,0,Leicester Tigers,OFFLOADS,0,0.0,Attack
1680,Owen Watkin,Back,Wales,Centre,25,26, Ospreys,OFFLOADS,5,0.5555555555555556,Attack
1681,Paolo Garbisi,Back,Italy,Fly-half,21,13, Montpellier,OFFLOADS,0,0.0,Attack
1682,Paul Willemse,Forward,France,Lock,29,19, Montpellier,OFFLOADS,0,0.0,Attack
1683,Peato Mauvaka,Back,France,Hooker,25,9, Toulouse,OFFLOADS,2,0.2222222222222222,Attack
1684,Peter O'Mahony,Forward,Ireland,Back row,32,79,Munster,OFFLOADS,0,0.0,Attack
1685,Pierre Bruno,Back,Italy,Wing,25,1, Zebre Parma,OFFLOADS,2,0.2222222222222222,Attack
1686,Pierre Schoeman,Forward,Scotland,Prop,27,4, Edinburgh,OFFLOADS,0,0.0,Attack
1687,Pietro Ceccarelli,Forward,Italy,Prop,29,17, Brive,OFFLOADS,1,0.1111111111111111,Attack
1688,Rob Herring,Back,Ireland,Hooker,31,23,Ulster,OFFLOADS,0,0.0,Attack
1689,Robbie Henshaw,Back,Ireland,Centre,28,53,Leinster,OFFLOADS,2,0.2222222222222222,Attack
1690,Romain Ntamack,Back,France,Fly-half,22,23, Toulouse,OFFLOADS,1,0.1111111111111111,Attack
1691,Romain Taofifenua,Forward,France,Lock,31,31, Lyon,OFFLOADS,0,0.0,Attack
1692,Ronan Kelleher,Back,Ireland,Hooker,24,16,Leinster,OFFLOADS,1,0.1111111111111111,Attack
1693,Rory Darge,Forward,Scotland,Back row,21,0, Glasgow Warriors,OFFLOADS,0,0.0,Attack
1694,Rory Sutherland,Forward,Scotland,Prop,29,16, Worcester Warriors,OFFLOADS,0,0.0,Attack
1695,Ross Moriarty,Forward,Wales,Back row,27,49, Cardiff,OFFLOADS,2,0.2222222222222222,Attack
1696,Ryan Baird,Forward,Ireland,Lock,22,6,Leinster,OFFLOADS,0,0.0,Attack
1697,Ryan Elias,Back,Wales,Hooker,27,23, Scarlets,OFFLOADS,0,0.0,Attack
1698,Sam Johnson,Back,Scotland,Centre,28,21, Glasgow Warriors,OFFLOADS,0,0.0,Attack
1699,Sam Simmonds,Forward,England,Back row,27,9,Exeter Chiefs,OFFLOADS,3,0.3333333333333333,Attack
1700,Sam Skinner,Forward,Scotland,Lock,27,15, Exeter Chiefs,OFFLOADS,1,0.1111111111111111,Attack
1701,Sam Underhill,Forward,England,Back row,25,27,Bath,OFFLOADS,1,0.1111111111111111,Attack
1702,Seb Davies,Forward,Wales,Lock,25,13, Cardiff,OFFLOADS,2,0.2222222222222222,Attack
1703,Sebastian Negri,Forward,Italy,Back row,27,36, Benetton,OFFLOADS,0,0.0,Attack
1704,Sione Tuipulotu,Back,Scotland,Centre,24,1, Glasgow Warriors,OFFLOADS,0,0.0,Attack
1705,Stephen Varney,Back,Italy,Scrum-half,20,9, Gloucester,OFFLOADS,0,0.0,Attack
1706,Stuart Hogg,Back,Scotland,Fullback,29,88, Exeter Chiefs,OFFLOADS,6,0.6666666666666666,Attack
1707,Stuart McInally,Back,Scotland,Hooker,31,43, Edinburgh,OFFLOADS,1,0.1111111111111111,Attack
1708,Tadhg Beirne,Forward,Ireland,Lock,30,25,Munster,OFFLOADS,2,0.2222222222222222,Attack
1709,Tadhg Furlong,Forward,Ireland,Prop,29,52,Leinster,OFFLOADS,1,0.1111111111111111,Attack
1710,Taine Basham,Forward,Wales,Back row,22,7, Dragons,OFFLOADS,1,0.1111111111111111,Attack
1711,Taulupe Faletau,Forward,Wales,Back row,31,86, Bath,OFFLOADS,3,0.3333333333333333,Attack
1712,Thibaud Flament,Forward,France,Lock,24,3, Toulouse,OFFLOADS,0,0.0,Attack
1713,Thomas Ramos,Back,France,Fullback,26,14, Toulouse,OFFLOADS,1,0.1111111111111111,Attack
1714,Tiziano Pasquali,Forward,Italy,Prop,27,21, Benetton,OFFLOADS,0,0.0,Attack
1715,Toa Halafihi,Forward,Italy,Back row,28,0, Benetton,OFFLOADS,1,0.1111111111111111,Attack
1716,Tom Curry,Forward,England,Back row,23,36,Sale Sharks,OFFLOADS,1,0.1111111111111111,Attack
1717,Tomas Francis,Forward,Wales,Prop,29,60, Ospreys,OFFLOADS,0,0.0,Attack
1718,Tommaso Menoncello,Back,Italy,Wing,19,0, Benetton /  F.I.R. Academy,OFFLOADS,0,0.0,Attack
1719,Tomos Williams,Back,Wales,Scrum-half,27,29, Cardiff,OFFLOADS,4,0.4444444444444444,Attack
1720,Uilisi Halaholo,Back,Wales,Centre,31,9, Cardiff,OFFLOADS,0,0.0,Attack
1721,Uini Atonio,Forward,France,Prop,31,39, La Rochelle,OFFLOADS,0,0.0,Attack
1722,Will Rowlands,Forward,Wales,Lock,30,13, Dragons,OFFLOADS,1,0.1111111111111111,Attack
1723,Will Stuart,Forward,England,Prop,25,15,Bath,OFFLOADS,0,0.0,Attack
1724,WP Nel,Forward,Scotland,Prop,35,43, Edinburgh,OFFLOADS,0,0.0,Attack
1725,Wyn Jones,Forward,Wales,Prop,29,38, Scarlets,OFFLOADS,3,0.3333333333333333,Attack
1726,Yoram Moefana,Back,France,Centre,21,2, Bordeaux,OFFLOADS,4,0.4444444444444444,Attack
1727,Zander Fagerson,Forward,Scotland,Prop,26,42, Glasgow Warriors,OFFLOADS,0,0.0,Attack
1728,Aaron Wainwright,Forward,Wales,Back row,24,34, Dragons,BROKEN TACKLES,1,0.047619047619047616,Attack
1729,Adam Beard,Forward,Wales,Lock,26,29, Ospreys,BROKEN TACKLES,0,0.0,Attack
1730,Adam Hastings,Back,Scotland,Fly-half,25,25, Gloucester,BROKEN TACKLES,0,0.0,Attack
1731,Alessandro Fusco,Back,Italy,Scrum-half,22,2, Zebre Parma,BROKEN TACKLES,4,0.19047619047619047,Attack
1732,Alex Cuthbert,Back,Wales,Wing,31,48, Ospreys,BROKEN TACKLES,10,0.47619047619047616,Attack
1733,Alex Dombrandt,Forward,England,Back row,24,4,Harlequins,BROKEN TACKLES,6,0.2857142857142857,Attack
1734,Ali Price,Back,Scotland,Scrum-half,28,46, Glasgow Warriors,BROKEN TACKLES,16,0.7619047619047619,Attack
1735,Allan Dell,Forward,Scotland,Prop,29,32, London Irish,BROKEN TACKLES,1,0.047619047619047616,Attack
1736,Alun Wyn Jones,Forward,Wales,Lock,36,149, Ospreys,BROKEN TACKLES,1,0.047619047619047616,Attack
1737,Andrea Zambonin,Forward,Italy,Lock,21,1, Zebre Parma,BROKEN TACKLES,0,0.0,Attack
1738,Andrew Conway,Back,Ireland,Wing,30,27,Munster,BROKEN TACKLES,5,0.23809523809523808,Attack
1739,Andrew Porter,Forward,Ireland,Prop,26,40,Leinster,BROKEN TACKLES,1,0.047619047619047616,Attack
1740,Andy Christie,Forward,Scotland,Back row,22,0, Saracens,BROKEN TACKLES,0,0.0,Attack
1741,Ange Capuozzo,Back,Italy,Fullback,22,0, Grenoble,BROKEN TACKLES,8,0.38095238095238093,Attack
1742,Anthony Jelonch,Forward,France,Back row,25,14, Toulouse,BROKEN TACKLES,2,0.09523809523809523,Attack
1743,Antoine Dupont,Back,France,Scrum-half,25,35, Toulouse,BROKEN TACKLES,13,0.6190476190476191,Attack
1744,Ben Carter,Forward,Wales,Lock,21,5, Dragons,BROKEN TACKLES,0,0.0,Attack
1745,Ben Vellacott,Back,Scotland,Scrum-half,26,0, Edinburgh,BROKEN TACKLES,0,0.0,Attack
1746,Ben White,Back,Scotland,Scrum-half,23,0, London Irish,BROKEN TACKLES,4,0.19047619047619047,Attack
1747,Ben Youngs,Back,England,Scrum-half,32,112,Leicester Tigers,BROKEN TACKLES,2,0.09523809523809523,Attack
1748,Blair Kinghorn,Back,Scotland,Fullback,25,28, Edinburgh,BROKEN TACKLES,1,0.047619047619047616,Attack
1749,Braam Steyn,Forward,Italy,Back row,29,46, Benetton,BROKEN TACKLES,0,0.0,Attack
1750,Bradley Roberts,Back,Wales,Hooker,26,1, Ulster,BROKEN TACKLES,0,0.0,Attack
1751,Bundee Aki,Back,Ireland,Centre,31,33,Connacht,BROKEN TACKLES,3,0.14285714285714285,Attack
1752,Caelan Doris,Forward,Ireland,Back row,23,12,Leinster,BROKEN TACKLES,7,0.3333333333333333,Attack
1753,Callum Braley,Back,Italy,Scrum-half,27,12, Benetton,BROKEN TACKLES,2,0.09523809523809523,Attack
1754,Callum Sheedy,Back,Wales,Fly-half,26,13, Bristol Bears,BROKEN TACKLES,0,0.0,Attack
1755,Cameron Redpath,Back,Scotland,Centre,22,1, Bath,BROKEN TACKLES,1,0.047619047619047616,Attack
1756,Cameron Woki,Forward,France,Back row,23,11, Bordeaux,BROKEN TACKLES,0,0.0,Attack
1757,Charlie Ewels,Forward,England,Lock,26,26,Bath,BROKEN TACKLES,0,0.0,Attack
1758,Cherif Traore,Forward,Italy,Prop,27,12, Benetton,BROKEN TACKLES,0,0.0,Attack
1759,Chris Harris,Back,Scotland,Centre,31,31, Gloucester,BROKEN TACKLES,6,0.2857142857142857,Attack
1760,Cian Healy,Forward,Ireland,Prop,34,112,Leinster,BROKEN TACKLES,1,0.047619047619047616,Attack
1761,Conor Murray,Back,Ireland,Scrum-half,32,92,Munster,BROKEN TACKLES,1,0.047619047619047616,Attack
1762,Courtney Lawes,Forward,England,Lock,32,90,Northampton Saints,BROKEN TACKLES,2,0.09523809523809523,Attack
1763,Craig Casey,Back,Ireland,Scrum-half,22,4,Munster,BROKEN TACKLES,0,0.0,Attack
1764,Cyril Baille,Forward,France,Prop,28,31, Toulouse,BROKEN TACKLES,3,0.14285714285714285,Attack
1765,Damian Penaud,Back,France,Wing,25,28, Clermont,BROKEN TACKLES,13,0.6190476190476191,Attack
1766,Dan Biggar,Back,Wales,Fly-half,32,95, Northampton Saints,BROKEN TACKLES,1,0.047619047619047616,Attack
1767,Dan Sheehan,Back,Ireland,Hooker,23,2,Leinster,BROKEN TACKLES,8,0.38095238095238093,Attack
1768,Danilo Fischetti,Forward,Italy,Prop,24,15, Zebre Parma,BROKEN TACKLES,1,0.047619047619047616,Attack
1769,Darcy Graham,Back,Scotland,Wing,24,22, Edinburgh,BROKEN TACKLES,19,0.9047619047619048,Attack
1770,Dave Kilcoyne,Forward,Ireland,Prop,33,45,Munster,BROKEN TACKLES,1,0.047619047619047616,Attack
1771,David Sisi,Forward,Italy,Lock,29,18, Zebre Parma,BROKEN TACKLES,0,0.0,Attack
1772,Demba Bamba,Forward,France,Prop,23,20, Lyon,BROKEN TACKLES,0,0.0,Attack
1773,Dewi Lake,Back,Wales,Hooker,22,0, Ospreys,BROKEN TACKLES,1,0.047619047619047616,Attack
1774,Dillon Lewis,Forward,Wales,Prop,26,34, Cardiff,BROKEN TACKLES,0,0.0,Attack
1775,Duhan van der Merwe,Back,Scotland,Wing,26,13, Worcester Warriors,BROKEN TACKLES,9,0.42857142857142855,Attack
1776,Dylan Cretin,Forward,France,Back row,24,13, Lyon,BROKEN TACKLES,0,0.0,Attack
1777,Edoardo Padovani,Back,Italy,Fullback,28,30, Benetton,BROKEN TACKLES,2,0.09523809523809523,Attack
1778,Elliot Daly,Back,England,Wing,29,52,Saracens,BROKEN TACKLES,2,0.09523809523809523,Attack
1779,Ellis Genge,Forward,England,Prop,26,31,Leicester Tigers,BROKEN TACKLES,5,0.23809523809523808,Attack
1780,Ellis Jenkins,Forward,Wales,Back row,28,14, Cardiff,BROKEN TACKLES,1,0.047619047619047616,Attack
1781,Federico Mori,Back,Italy,Wing,21,11, Bordeaux,BROKEN TACKLES,0,0.0,Attack
1782,Federico Ruzza,Forward,Italy,Lock,27,25, Benetton,BROKEN TACKLES,4,0.19047619047619047,Attack
1783,Finlay Bealham,Forward,Ireland,Prop,30,18,Connacht,BROKEN TACKLES,0,0.0,Attack
1784,Finn Russell,Back,Scotland,Fly-half,29,58, Racing 92,BROKEN TACKLES,4,0.19047619047619047,Attack
1785,Francois Cros,Forward,France,Back row,27,11, Toulouse,BROKEN TACKLES,1,0.047619047619047616,Attack
1786,Fraser Brown,Back,Scotland,Hooker,32,54, Glasgow Warriors,BROKEN TACKLES,0,0.0,Attack
1787,Freddie Steward,Back,England,Fullback,21,5,Leicester Tigers,BROKEN TACKLES,4,0.19047619047619047,Attack
1788,Gabin Villiere,Back,France,Wing,26,8, Toulon,BROKEN TACKLES,11,0.5238095238095238,Attack
1789,Gael Fickou,Back,France,Centre,27,66, Racing 92,BROKEN TACKLES,8,0.38095238095238093,Attack
1790,Gareth Anscombe,Back,Wales,Fly-half,30,29, Ospreys,BROKEN TACKLES,0,0.0,Attack
1791,Gareth Davies,Back,Wales,Scrum-half,31,65, Scarlets,BROKEN TACKLES,0,0.0,Attack
1792,Gareth Thomas,Forward,Wales,Prop,28,5, Ospreys,BROKEN TACKLES,0,0.0,Attack
1793,Garry Ringrose,Back,Ireland,Centre,27,37,Leinster,BROKEN TACKLES,11,0.5238095238095238,Attack
1794,George Ford,Back,England,Fly-half,28,77,Leicester Tigers,BROKEN TACKLES,0,0.0,Attack
1795,George Furbank,Back,England,Fullback,25,5,Northampton Saints,BROKEN TACKLES,1,0.047619047619047616,Attack
1796,George Turner,Back,Scotland,Hooker,29,20, Glasgow Warriors,BROKEN TACKLES,4,0.19047619047619047,Attack
1797,Giacomo Nicotera,Back,Italy,Hooker,25,0, Benetton,BROKEN TACKLES,0,0.0,Attack
1798,Gianmarco Lucchesi,Back,Italy,Hooker,21,8, Benetton,BROKEN TACKLES,2,0.09523809523809523,Attack
1799,Giosue Zilocchi,Forward,Italy,Prop,25,15, Zebre Parma,BROKEN TACKLES,0,0.0,Attack
1800,Giovanni Pettinelli,Forward,Italy,Back row,25,1, Benetton,BROKEN TACKLES,3,0.14285714285714285,Attack
1801,Grant Gilchrist,Forward,Scotland,Lock,31,48, Edinburgh,BROKEN TACKLES,1,0.047619047619047616,Attack
1802,Gregory Alldritt,Forward,France,Back row,24,26, La Rochelle,BROKEN TACKLES,7,0.3333333333333333,Attack
1803,Hame Faiva,Back,Italy,Hooker,27,1, Benetton /  Rovigo Delta,BROKEN TACKLES,1,0.047619047619047616,Attack
1804,Hamish Watson,Forward,Scotland,Back row,30,45, Edinburgh,BROKEN TACKLES,8,0.38095238095238093,Attack
1805,Harry Randall,Back,England,Scrum-half,24,2,Bristol Bears,BROKEN TACKLES,5,0.23809523809523808,Attack
1806,Henry Slade,Back,England,Centre,28,43,Exeter Chiefs,BROKEN TACKLES,5,0.23809523809523808,Attack
1807,Hugo Keenan,Back,Ireland,Fullback,25,16,Leinster,BROKEN TACKLES,7,0.3333333333333333,Attack
1808,Iain Henderson,Forward,Ireland,Lock,29,65,Ulster,BROKEN TACKLES,1,0.047619047619047616,Attack
1809,Ivan Nemer,Forward,Italy,Prop,23,3, Benetton,BROKEN TACKLES,2,0.09523809523809523,Attack
1810,Jac Morgan,Forward,Wales,Back row,22,0, Ospreys,BROKEN TACKLES,1,0.047619047619047616,Attack
1811,Jack Carty,Back,Ireland,Fly-half,29,10,Connacht,BROKEN TACKLES,0,0.0,Attack
1812,Jack Conan,Forward,Ireland,Back row,29,22,Leinster,BROKEN TACKLES,4,0.19047619047619047,Attack
1813,Jack Nowell,Back,England,Wing,28,34,Exeter Chiefs,BROKEN TACKLES,5,0.23809523809523808,Attack
1814,James Hume,Back,Ireland,Centre,23,1,Ulster,BROKEN TACKLES,1,0.047619047619047616,Attack
1815,James Lowe,Back,Ireland,Wing,29,10,Leinster,BROKEN TACKLES,8,0.38095238095238093,Attack
1816,James Ryan,Forward,Ireland,Lock,25,40,Leinster,BROKEN TACKLES,2,0.09523809523809523,Attack
1817,Jamie Blamire,Back,England,Hooker,24,5,Newcastle Falcons,BROKEN TACKLES,0,0.0,Attack
1818,Jamie George,Back,England,Hooker,31,61,Saracens,BROKEN TACKLES,1,0.047619047619047616,Attack
1819,Jamie Hodgson,Forward,Scotland,Lock,23,3, Edinburgh,BROKEN TACKLES,0,0.0,Attack
1820,Jamie Ritchie,Forward,Scotland,Back row,25,31, Edinburgh,BROKEN TACKLES,0,0.0,Attack
1821,Jamison Gibson-Park,Back,Ireland,Scrum-half,29,12,Leinster,BROKEN TACKLES,6,0.2857142857142857,Attack
1822,Jean-Baptiste Gros,Forward,France,Prop,22,14, Toulon,BROKEN TACKLES,0,0.0,Attack
1823,Joe Launchbury,Forward,England,Lock,30,69,Wasps,BROKEN TACKLES,0,0.0,Attack
1824,Joe Marchant,Back,England,Centre,25,7,Harlequins,BROKEN TACKLES,6,0.2857142857142857,Attack
1825,Joe Marler,Forward,England,Prop,31,74,Harlequins,BROKEN TACKLES,0,0.0,Attack
1826,Joey Carbery,Back,Ireland,Fly-half,26,27,Munster,BROKEN TACKLES,3,0.14285714285714285,Attack
1827,Johnny McNicholl,Back,Wales,Fullback,31,8, Scarlets,BROKEN TACKLES,3,0.14285714285714285,Attack
1828,Johnny Sexton,Back,Ireland,Fly-half,36,101,Leinster,BROKEN TACKLES,7,0.3333333333333333,Attack
