,PLAYER,FORWARD/BACK,TEAM,POSITION,AGE,CAPS,CLUB/PROVINCE,stat,value,norm_value,stat_category
143,Ollie Chessum,Forward,England,Lock,21,0,Leicester Tigers,TRIES,0,0.0,Attack
144,Owen Watkin,Back,Wales,Centre,25,26, Ospreys,TRIES,1,0.3333333333333333,Attack
145,Paolo Garbisi,Back,Italy,Fly-half,21,13, Montpellier,TRIES,0,0.0,Attack
146,Paul Willemse,Forward,France,Lock,29,19, Montpellier,TRIES,1,0.3333333333333333,Attack
147,Peato Mauvaka,Back,France,Hooker,25,9, Toulouse,TRIES,0,0.0,Attack
148,Peter O'Mahony,Forward,Ireland,Back row,32,79,Munster,TRIES,1,0.3333333333333333,Attack
149,Pierre Bruno,Back,Italy,Wing,25,1, Zebre Parma,TRIES,0,0.0,Attack
150,Pierre Schoeman,Forward,Scotland,Prop,27,4, Edinburgh,TRIES,1,0.3333333333333333,Attack
151,Pietro Ceccarelli,Forward,Italy,Prop,29,17, Brive,TRIES,0,0.0,Attack
152,Rob Herring,Back,Ireland,Hooker,31,23,Ulster,TRIES,0,0.0,Attack
153,Robbie Henshaw,Back,Ireland,Centre,28,53,Leinster,TRIES,0,0.0,Attack
154,Romain Ntamack,Back,France,Fly-half,22,23, Toulouse,TRIES,0,0.0,Attack
155,Romain Taofifenua,Forward,France,Lock,31,31, Lyon,TRIES,0,0.0,Attack
156,Ronan Kelleher,Back,Ireland,Hooker,24,16,Leinster,TRIES,0,0.0,Attack
157,Rory Darge,Forward,Scotland,Back row,21,0, Glasgow Warriors,TRIES,1,0.3333333333333333,Attack
158,Rory Sutherland,Forward,Scotland,Prop,29,16, Worcester Warriors,TRIES,0,0.0,Attack
159,Ross Moriarty,Forward,Wales,Back row,27,49, Cardiff,TRIES,0,0.0,Attack
160,Ryan Baird,Forward,Ireland,Lock,22,6,Leinster,TRIES,1,0.3333333333333333,Attack
161,Ryan Elias,Back,Wales,Hooker,27,23, Scarlets,TRIES,0,0.0,Attack
162,Sam Johnson,Back,Scotland,Centre,28,21, Glasgow Warriors,TRIES,1,0.3333333333333333,Attack
163,Sam Simmonds,Forward,England,Back row,27,9,Exeter Chiefs,TRIES,0,0.0,Attack
164,Sam Skinner,Forward,Scotland,Lock,27,15, Exeter Chiefs,TRIES,0,0.0,Attack
165,Sam Underhill,Forward,England,Back row,25,27,Bath,TRIES,0,0.0,Attack
166,Seb Davies,Forward,Wales,Lock,25,13, Cardiff,TRIES,0,0.0,Attack
167,Sebastian Negri,Forward,Italy,Back row,27,36, Benetton,TRIES,0,0.0,Attack
168,Sione Tuipulotu,Back,Scotland,Centre,24,1, Glasgow Warriors,TRIES,0,0.0,Attack
169,Stephen Varney,Back,Italy,Scrum-half,20,9, Gloucester,TRIES,0,0.0,Attack
170,Stuart Hogg,Back,Scotland,Fullback,29,88, Exeter Chiefs,TRIES,1,0.3333333333333333,Attack
171,Stuart McInally,Back,Scotland,Hooker,31,43, Edinburgh,TRIES,0,0.0,Attack
172,Tadhg Beirne,Forward,Ireland,Lock,30,25,Munster,TRIES,0,0.0,Attack
173,Tadhg Furlong,Forward,Ireland,Prop,29,52,Leinster,TRIES,0,0.0,Attack
174,Taine Basham,Forward,Wales,Back row,22,7, Dragons,TRIES,1,0.3333333333333333,Attack
175,Taulupe Faletau,Forward,Wales,Back row,31,86, Bath,TRIES,0,0.0,Attack
176,Thibaud Flament,Forward,France,Lock,24,3, Toulouse,TRIES,0,0.0,Attack
177,Thomas Ramos,Back,France,Fullback,26,14, Toulouse,TRIES,0,0.0,Attack
178,Tiziano Pasquali,Forward,Italy,Prop,27,21, Benetton,TRIES,0,0.0,Attack
179,Toa Halafihi,Forward,Italy,Back row,28,0, Benetton,TRIES,0,0.0,Attack
180,Tom Curry,Forward,England,Back row,23,36,Sale Sharks,TRIES,0,0.0,Attack
181,Tomas Francis,Forward,Wales,Prop,29,60, Ospreys,TRIES,1,0.3333333333333333,Attack
182,Tommaso Menoncello,Back,Italy,Wing,19,0, Benetton /  F.I.R. Academy,TRIES,1,0.3333333333333333,Attack
183,Tomos Williams,Back,Wales,Scrum-half,27,29, Cardiff,TRIES,0,0.0,Attack
184,Uilisi Halaholo,Back,Wales,Centre,31,9, Cardiff,TRIES,0,0.0,Attack
