,PLAYER,MINUTES PLAYED,TRIES,TRY ASSISTS,CONVERSIONS,PENALTY GOALS,DROP GOALS,METRES MADE,CARRIES,METRES KICKED,BALL PLAYED BY HAND,PASSES MADE,OFFLOADS,BROKEN TACKLES,KNOCK ONS,TACKLES MADE,MISSED TACKLES,DOMINANT TACKLES,TURNOVERS WON,TURNOVERS WON IN THE TACKLE,TURNOVERS CONCEDED,HANDLING ERRORS,PENS CONCEDED,OFFSIDE PENALTIES,SCRUM PENALTIES,LINEOUTS WON,LINEOUTS STOLEN,YELLOW CARDS,RED CARDS,TEAM,POSITION,CAPS,CLUB/PROVINCE,AGE,FORWARD/BACK
53,Federico Mori,54,0,0,0,0,0,64,4,0,4,1,1,0,0,3,3,1,0,1,1,0,1,1,0,0,0,0,0,Italy,Wing,11, Bordeaux,21,Back
54,Federico Ruzza,364,0,0,0,0,0,110,19,0,46,27,0,4,1,50,1,3,2,2,4,2,4,2,0,28,1,0,0,Italy,Lock,25, Benetton,27,Forward
55,Finlay Bealham,73,1,0,0,0,0,24,7,0,8,2,1,0,0,13,0,1,0,0,0,0,3,0,2,0,0,0,0,Ireland,Prop,18,Connacht,30,Forward
56,Finn Russell,300,0,3,6,7,0,135,22,1402,129,112,5,4,1,19,5,0,0,0,3,8,1,0,0,0,0,1,0,Scotland,Fly-half,58, Racing 92,29,Back
57,Francois Cros,316,1,0,0,0,0,56,13,0,13,1,1,1,1,58,4,4,2,1,2,1,1,0,0,7,1,0,0,France,Back row,11, Toulouse,27,Forward
58,Fraser Brown,29,0,0,0,0,0,8,4,0,5,1,0,0,0,5,1,0,1,0,1,0,0,0,0,0,0,0,0,Scotland,Hooker,54, Glasgow Warriors,32,Back
59,Freddie Steward,400,1,0,0,0,0,492,46,259,58,13,1,4,1,13,6,1,0,1,5,2,2,0,0,1,0,0,0,England,Fullback,5,Leicester Tigers,21,Back
60,Gabin Villiere,320,3,0,0,0,0,261,30,95,37,9,2,11,3,14,2,1,4,2,5,4,3,0,0,0,0,0,0,France,Wing,8, Toulon,26,Back
61,Gael Fickou,400,2,0,0,0,0,190,27,88,56,32,4,8,1,45,5,3,4,3,3,4,3,1,0,1,0,0,0,France,Centre,66, Racing 92,27,Back
62,Gareth Anscombe,21,0,0,0,0,0,42,7,90,14,8,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Wales,Fly-half,29, Ospreys,30,Back
63,Gareth Davies,89,0,0,0,0,0,10,2,352,90,88,0,0,1,9,1,0,0,0,1,2,0,0,0,0,0,0,0,Wales,Scrum-half,65, Scarlets,31,Back
64,Gareth Thomas,192,0,0,0,0,0,119,26,0,29,3,0,0,1,32,3,1,1,0,2,1,2,0,1,0,0,0,0,Wales,Prop,5, Ospreys,28,Forward
65,Garry Ringrose,380,1,1,0,0,0,393,55,99,90,36,1,11,1,26,7,1,0,0,6,5,0,0,0,0,0,0,0,Ireland,Centre,37,Leinster,27,Back
66,George Ford,28,0,0,0,0,0,6,1,0,8,7,0,0,0,6,1,0,0,0,0,0,1,1,0,0,0,0,0,England,Fly-half,77,Leicester Tigers,28,Back
67,George Furbank,76,0,0,0,0,0,86,7,163,13,7,1,1,0,2,3,0,0,0,1,0,0,0,0,1,0,0,0,England,Fullback,5,Northampton Saints,25,Back
68,George Turner,222,0,0,0,0,0,110,18,0,24,6,0,4,0,34,7,1,1,2,2,0,5,1,0,0,0,0,0,Scotland,Hooker,20, Glasgow Warriors,29,Back
69,Giacomo Nicotera,104,0,0,0,0,0,42,9,0,14,5,0,0,0,21,6,0,1,0,2,0,2,0,0,0,0,0,0,Italy,Hooker,0, Benetton,25,Back
70,Gianmarco Lucchesi,109,0,0,0,0,0,24,7,0,7,0,0,2,0,27,4,1,2,0,1,0,0,0,0,0,0,0,0,Italy,Hooker,8, Benetton,21,Back
71,Giosue Zilocchi,30,0,0,0,0,0,4,2,0,2,0,0,0,0,4,0,1,0,0,0,0,1,0,1,1,0,0,0,Italy,Prop,15, Zebre Parma,25,Forward
